"","index","Operating.Airline","Passenger.Count"
"1",0,"ATA Airlines",27271
"2",1,"ATA Airlines",29131
"3",2,"ATA Airlines",5415
"4",3,"Air Canada ",35156
"5",4,"Air Canada ",34090
"6",5,"Air China",6263
"7",6,"Air China",5500
"8",7,"Air France",12050
"9",8,"Air France",11638
"10",9,"Air New Zealand",4998
"11",10,"Air New Zealand",4962
"12",11,"AirTran Airways",8055
"13",12,"AirTran Airways",7984
"14",13,"Alaska Airlines",36641
"15",14,"Alaska Airlines",39379
"16",15,"Alaska Airlines",3678
"17",16,"Alaska Airlines",7977
"18",17,"Alaska Airlines",8837
"19",18,"Alaska Airlines",6969
"20",19,"Alaska Airlines",10046
"21",20,"Alaska Airlines",2266
"22",21,"All Nippon Airways",6545
"23",22,"All Nippon Airways",6094
"24",23,"American Airlines",166577
"25",24,"American Airlines",160890
"26",25,"American Eagle Airlines",5493
"27",26,"American Eagle Airlines",5213
"28",27,"Asiana Airlines",5041
"29",28,"Asiana Airlines",4744
"30",29,"Atlantic Southeast Airlines",1552
"31",30,"Atlantic Southeast Airlines",1484
"32",31,"BelAir Airlines",325
"33",32,"BelAir Airlines",545
"34",33,"British Airways",20632
"35",34,"British Airways",21686
"36",35,"Cathay Pacific",11010
"37",36,"Cathay Pacific",9628
"38",37,"China Airlines",13638
"39",38,"China Airlines",11255
"40",39,"Delta Air Lines",97510
"41",40,"Delta Air Lines",93791
"42",41,"EVA Airways",14142
"43",42,"EVA Airways",12132
"44",43,"Frontier Airlines",19234
"45",44,"Frontier Airlines",18368
"46",45,"Hawaiian Airlines",7579
"47",46,"Hawaiian Airlines",7658
"48",47,"Horizon Air ",5284
"49",48,"Horizon Air ",5257
"50",49,"Icelandair",4540
"51",50,"Icelandair",4341
"52",51,"Independence Air",10843
"53",52,"Independence Air",10967
"54",53,"Japan Airlines",9195
"55",54,"Japan Airlines",9086
"56",55,"KLM Royal Dutch Airlines",9978
"57",56,"KLM Royal Dutch Airlines",9587
"58",57,"Korean Air Lines",6153
"59",58,"Korean Air Lines",5646
"60",59,"Lufthansa German Airlines",22389
"61",60,"Lufthansa German Airlines",20511
"62",61,"Mesa Airlines",2636
"63",62,"Mesa Airlines",2535
"64",63,"Mexicana Airlines",7751
"65",64,"Mexicana Airlines",7845
"66",65,"Midwest Airlines",1797
"67",66,"Midwest Airlines",3238
"68",67,"Northwest Airlines",64231
"69",68,"Northwest Airlines",62049
"70",69,"Northwest Airlines",7229
"71",70,"Northwest Airlines",6554
"72",71,"Philippine Airlines",12828
"73",72,"Philippine Airlines",10269
"74",73,"Singapore Airlines",19211
"75",74,"Singapore Airlines",17462
"76",75,"SkyWest Airlines",7262
"77",76,"SkyWest Airlines",6586
"78",77,"SkyWest Airlines",103279
"79",78,"SkyWest Airlines",102023
"80",79,"SkyWest Airlines",3688
"81",80,"SkyWest Airlines",3633
"82",81,"Sun Country Airlines",4827
"83",82,"Sun Country Airlines",4784
"84",83,"TACA",6324
"85",84,"TACA",7031
"86",85,"US Airways",46042
"87",86,"US Airways",45553
"88",87,"US Airways",38951
"89",88,"US Airways",37848
"90",89,"United Airlines",62178
"91",90,"United Airlines",60939
"92",91,"United Airlines - Pre 07/01/2013",58767
"93",92,"United Airlines - Pre 07/01/2013",58277
"94",93,"United Airlines - Pre 07/01/2013",443656
"95",94,"United Airlines - Pre 07/01/2013",421802
"96",95,"United Airlines - Pre 07/01/2013",11388
"97",96,"United Airlines - Pre 07/01/2013",77658
"98",97,"United Airlines - Pre 07/01/2013",68278
"99",98,"United Airlines - Pre 07/01/2013",3953
"100",99,"United Airlines - Pre 07/01/2013",8603
"101",100,"United Airlines - Pre 07/01/2013",8234
"102",101,"United Airlines - Pre 07/01/2013",1385
"103",102,"United Airlines - Pre 07/01/2013",12874
"104",103,"United Airlines - Pre 07/01/2013",12085
"105",104,"United Airlines - Pre 07/01/2013",10
"106",105,"United Airlines - Pre 07/01/2013",30796
"107",106,"United Airlines - Pre 07/01/2013",29283
"108",107,"United Airlines - Pre 07/01/2013",888
"109",108,"United Airlines - Pre 07/01/2013",9537
"110",109,"United Airlines - Pre 07/01/2013",9672
"111",110,"United Airlines - Pre 07/01/2013",45
"112",111,"Virgin Atlantic",11684
"113",112,"Virgin Atlantic",10771
"114",113,"WestJet Airlines",2480
"115",114,"WestJet Airlines",2211
"116",115,"ATA Airlines",27472
"117",116,"ATA Airlines",26535
"118",117,"ATA Airlines",5712
"119",118,"Air Canada ",34878
"120",119,"Air Canada ",34105
"121",120,"Air China",4204
"122",121,"Air China",3923
"123",122,"Air France",11230
"124",123,"Air France",11731
"125",124,"Air New Zealand",4672
"126",125,"Air New Zealand",4006
"127",126,"AirTran Airways",7796
"128",127,"AirTran Airways",7737
"129",128,"Alaska Airlines",40431
"130",129,"Alaska Airlines",39595
"131",130,"Alaska Airlines",1902
"132",131,"Alaska Airlines",8901
"133",132,"Alaska Airlines",9020
"134",133,"Alaska Airlines",7541
"135",134,"Alaska Airlines",9333
"136",135,"Alaska Airlines",1902
"137",136,"All Nippon Airways",6739
"138",137,"All Nippon Airways",5966
"139",138,"American Airlines",162064
"140",139,"American Airlines",157700
"141",140,"American Eagle Airlines",5233
"142",141,"American Eagle Airlines",4866
"143",142,"Asiana Airlines",4099
"144",143,"Asiana Airlines",3376
"145",144,"Atlantic Southeast Airlines",1735
"146",145,"Atlantic Southeast Airlines",1560
"147",146,"BelAir Airlines",353
"148",147,"BelAir Airlines",751
"149",148,"Boeing Company",18
"150",149,"British Airways",20312
"151",150,"British Airways",20084
"152",151,"Cathay Pacific",11753
"153",152,"Cathay Pacific",9050
"154",153,"China Airlines",14610
"155",154,"China Airlines",10972
"156",155,"Delta Air Lines",97343
"157",156,"Delta Air Lines",97160
"158",157,"EVA Airways",13524
"159",158,"EVA Airways",11950
"160",159,"Frontier Airlines",17109
"161",160,"Frontier Airlines",17186
"162",161,"Hawaiian Airlines",7923
"163",162,"Hawaiian Airlines",7751
"164",163,"Horizon Air ",5572
"165",164,"Horizon Air ",5268
"166",165,"Icelandair",4691
"167",166,"Icelandair",4355
"168",167,"Independence Air",9191
"169",168,"Independence Air",9850
"170",169,"Japan Airlines",9296
"171",170,"Japan Airlines",7913
"172",171,"KLM Royal Dutch Airlines",9666
"173",172,"KLM Royal Dutch Airlines",9881
"174",173,"Korean Air Lines",8856
"175",174,"Korean Air Lines",7164
"176",175,"Lufthansa German Airlines",21512
"177",176,"Lufthansa German Airlines",21881
"178",177,"Mesa Airlines",2725
"179",178,"Mesa Airlines",2546
"180",179,"Mexicana Airlines",7156
"181",180,"Mexicana Airlines",5946
"182",181,"Midwest Airlines",1552
"183",182,"Midwest Airlines",3382
"184",183,"Northwest Airlines",56501
"185",184,"Northwest Airlines",56674
"186",185,"Northwest Airlines",7107
"187",186,"Northwest Airlines",6522
"188",187,"Philippine Airlines",12856
"189",188,"Philippine Airlines",8718
"190",189,"Singapore Airlines",19192
"191",190,"Singapore Airlines",17118
"192",191,"SkyWest Airlines",7052
"193",192,"SkyWest Airlines",6652
"194",193,"SkyWest Airlines",102899
"195",194,"SkyWest Airlines",103188
"196",195,"SkyWest Airlines",3672
"197",196,"SkyWest Airlines",3570
"198",197,"Sun Country Airlines",4720
"199",198,"Sun Country Airlines",4717
"200",199,"TACA",7357
"201",200,"TACA",5128
"202",201,"US Airways",42622
"203",202,"US Airways",44508
"204",203,"US Airways",40712
"205",204,"US Airways",40322
"206",205,"United Airlines",61872
"207",206,"United Airlines",61768
"208",207,"United Airlines - Pre 07/01/2013",55842
"209",208,"United Airlines - Pre 07/01/2013",27930
"210",209,"United Airlines - Pre 07/01/2013",56087
"211",210,"United Airlines - Pre 07/01/2013",26098
"212",211,"United Airlines - Pre 07/01/2013",676
"213",212,"United Airlines - Pre 07/01/2013",420430
"214",213,"United Airlines - Pre 07/01/2013",398135
"215",214,"United Airlines - Pre 07/01/2013",11585
"216",215,"United Airlines - Pre 07/01/2013",79131
"217",216,"United Airlines - Pre 07/01/2013",68861
"218",217,"United Airlines - Pre 07/01/2013",4059
"219",218,"United Airlines - Pre 07/01/2013",8903
"220",219,"United Airlines - Pre 07/01/2013",7874
"221",220,"United Airlines - Pre 07/01/2013",1475
"222",221,"United Airlines - Pre 07/01/2013",13895
"223",222,"United Airlines - Pre 07/01/2013",12145
"224",223,"United Airlines - Pre 07/01/2013",29236
"225",224,"United Airlines - Pre 07/01/2013",29920
"226",225,"United Airlines - Pre 07/01/2013",863
"227",226,"United Airlines - Pre 07/01/2013",9397
"228",227,"United Airlines - Pre 07/01/2013",9275
"229",228,"United Airlines - Pre 07/01/2013",78
"230",229,"Virgin Atlantic",10685
"231",230,"Virgin Atlantic",11072
"232",231,"WestJet Airlines",2300
"233",232,"WestJet Airlines",2251
"234",233,"ATA Airlines",17341
"235",234,"ATA Airlines",18541
