"","GEO.Region","Operating.Airline"
"1","US","ATA Airlines"
"2","US","ATA Airlines"
"3","US","ATA Airlines"
"4","Canada","Air Canada "
"5","Canada","Air Canada "
"6","Asia","Air China"
"7","Asia","Air China"
"8","Europe","Air France"
"9","Europe","Air France"
"10","Australia / Oceania","Air New Zealand"
"11","Australia / Oceania","Air New Zealand"
"12","US","AirTran Airways"
"13","US","AirTran Airways"
"14","US","Alaska Airlines"
"15","US","Alaska Airlines"
"16","US","Alaska Airlines"
"17","Canada","Alaska Airlines"
"18","Canada","Alaska Airlines"
"19","Mexico","Alaska Airlines"
"20","Mexico","Alaska Airlines"
"21","Mexico","Alaska Airlines"
"22","Asia","All Nippon Airways"
"23","Asia","All Nippon Airways"
"24","US","American Airlines"
"25","US","American Airlines"
"26","US","American Eagle Airlines"
"27","US","American Eagle Airlines"
"28","Asia","Asiana Airlines"
"29","Asia","Asiana Airlines"
"30","US","Atlantic Southeast Airlines"
"31","US","Atlantic Southeast Airlines"
"32","Europe","BelAir Airlines"
"33","Europe","BelAir Airlines"
"34","Europe","British Airways"
"35","Europe","British Airways"
"36","Asia","Cathay Pacific"
"37","Asia","Cathay Pacific"
"38","Asia","China Airlines"
"39","Asia","China Airlines"
"40","US","Delta Air Lines"
"41","US","Delta Air Lines"
"42","Asia","EVA Airways"
"43","Asia","EVA Airways"
"44","US","Frontier Airlines"
"45","US","Frontier Airlines"
"46","US","Hawaiian Airlines"
"47","US","Hawaiian Airlines"
"48","US","Horizon Air "
"49","US","Horizon Air "
"50","Europe","Icelandair"
"51","Europe","Icelandair"
"52","US","Independence Air"
"53","US","Independence Air"
"54","Asia","Japan Airlines"
"55","Asia","Japan Airlines"
"56","Europe","KLM Royal Dutch Airlines"
"57","Europe","KLM Royal Dutch Airlines"
"58","Asia","Korean Air Lines"
"59","Asia","Korean Air Lines"
"60","Europe","Lufthansa German Airlines"
"61","Europe","Lufthansa German Airlines"
"62","US","Mesa Airlines"
"63","US","Mesa Airlines"
"64","Mexico","Mexicana Airlines"
"65","Mexico","Mexicana Airlines"
"66","US","Midwest Airlines"
"67","US","Midwest Airlines"
"68","US","Northwest Airlines"
"69","US","Northwest Airlines"
"70","Asia","Northwest Airlines"
"71","Asia","Northwest Airlines"
"72","Asia","Philippine Airlines"
"73","Asia","Philippine Airlines"
"74","Asia","Singapore Airlines"
"75","Asia","Singapore Airlines"
"76","US","SkyWest Airlines"
"77","US","SkyWest Airlines"
"78","US","SkyWest Airlines"
"79","US","SkyWest Airlines"
"80","Canada","SkyWest Airlines"
"81","Canada","SkyWest Airlines"
"82","US","Sun Country Airlines"
"83","US","Sun Country Airlines"
"84","Central America","TACA"
"85","Central America","TACA"
"86","US","US Airways"
"87","US","US Airways"
"88","US","US Airways"
"89","US","US Airways"
"90","US","United Airlines"
"91","US","United Airlines"
"92","US","United Airlines - Pre 07/01/2013"
"93","US","United Airlines - Pre 07/01/2013"
"94","US","United Airlines - Pre 07/01/2013"
"95","US","United Airlines - Pre 07/01/2013"
"96","US","United Airlines - Pre 07/01/2013"
"97","Asia","United Airlines - Pre 07/01/2013"
