"","index","GEO.Region","Passenger.Count"
"1",0,"US",27271
"2",1,"US",29131
"3",2,"US",5415
"4",3,"Canada",35156
"5",4,"Canada",34090
"6",5,"Asia",6263
"7",6,"Asia",5500
"8",7,"Europe",12050
"9",8,"Europe",11638
"10",9,"Australia / Oceania",4998
"11",10,"Australia / Oceania",4962
"12",11,"US",8055
"13",12,"US",7984
"14",13,"US",36641
"15",14,"US",39379
"16",15,"US",3678
"17",16,"Canada",7977
"18",17,"Canada",8837
"19",18,"Mexico",6969
"20",19,"Mexico",10046
"21",20,"Mexico",2266
"22",21,"Asia",6545
"23",22,"Asia",6094
"24",23,"US",166577
"25",24,"US",160890
"26",25,"US",5493
"27",26,"US",5213
"28",27,"Asia",5041
"29",28,"Asia",4744
"30",29,"US",1552
"31",30,"US",1484
"32",31,"Europe",325
"33",32,"Europe",545
"34",33,"Europe",20632
"35",34,"Europe",21686
"36",35,"Asia",11010
"37",36,"Asia",9628
"38",37,"Asia",13638
"39",38,"Asia",11255
"40",39,"US",97510
"41",40,"US",93791
"42",41,"Asia",14142
"43",42,"Asia",12132
"44",43,"US",19234
"45",44,"US",18368
"46",45,"US",7579
"47",46,"US",7658
"48",47,"US",5284
"49",48,"US",5257
"50",49,"Europe",4540
"51",50,"Europe",4341
"52",51,"US",10843
"53",52,"US",10967
"54",53,"Asia",9195
"55",54,"Asia",9086
"56",55,"Europe",9978
"57",56,"Europe",9587
"58",57,"Asia",6153
"59",58,"Asia",5646
"60",59,"Europe",22389
"61",60,"Europe",20511
"62",61,"US",2636
"63",62,"US",2535
"64",63,"Mexico",7751
"65",64,"Mexico",7845
"66",65,"US",1797
"67",66,"US",3238
"68",67,"US",64231
"69",68,"US",62049
"70",69,"Asia",7229
"71",70,"Asia",6554
"72",71,"Asia",12828
"73",72,"Asia",10269
"74",73,"Asia",19211
"75",74,"Asia",17462
"76",75,"US",7262
"77",76,"US",6586
"78",77,"US",103279
"79",78,"US",102023
"80",79,"Canada",3688
"81",80,"Canada",3633
"82",81,"US",4827
"83",82,"US",4784
"84",83,"Central America",6324
"85",84,"Central America",7031
"86",85,"US",46042
"87",86,"US",45553
"88",87,"US",38951
"89",88,"US",37848
"90",89,"US",62178
"91",90,"US",60939
"92",91,"US",58767
"93",92,"US",58277
"94",93,"US",443656
"95",94,"US",421802
"96",95,"US",11388
"97",96,"Asia",77658
"98",97,"Asia",68278
"99",98,"Asia",3953
"100",99,"Australia / Oceania",8603
"101",100,"Australia / Oceania",8234
"102",101,"Australia / Oceania",1385
"103",102,"Canada",12874
"104",103,"Canada",12085
"105",104,"Canada",10
"106",105,"Europe",30796
"107",106,"Europe",29283
"108",107,"Europe",888
"109",108,"Mexico",9537
"110",109,"Mexico",9672
"111",110,"Mexico",45
"112",111,"Europe",11684
"113",112,"Europe",10771
"114",113,"Canada",2480
"115",114,"Canada",2211
"116",115,"US",27472
"117",116,"US",26535
"118",117,"US",5712
"119",118,"Canada",34878
"120",119,"Canada",34105
"121",120,"Asia",4204
"122",121,"Asia",3923
"123",122,"Europe",11230
"124",123,"Europe",11731
"125",124,"Australia / Oceania",4672
"126",125,"Australia / Oceania",4006
"127",126,"US",7796
"128",127,"US",7737
"129",128,"US",40431
"130",129,"US",39595
"131",130,"US",1902
"132",131,"Canada",8901
"133",132,"Canada",9020
"134",133,"Mexico",7541
"135",134,"Mexico",9333
"136",135,"Mexico",1902
"137",136,"Asia",6739
"138",137,"Asia",5966
"139",138,"US",162064
"140",139,"US",157700
"141",140,"US",5233
"142",141,"US",4866
"143",142,"Asia",4099
"144",143,"Asia",3376
"145",144,"US",1735
"146",145,"US",1560
"147",146,"Europe",353
"148",147,"Europe",751
"149",148,"US",18
"150",149,"Europe",20312
"151",150,"Europe",20084
"152",151,"Asia",11753
"153",152,"Asia",9050
"154",153,"Asia",14610
"155",154,"Asia",10972
"156",155,"US",97343
"157",156,"US",97160
"158",157,"Asia",13524
"159",158,"Asia",11950
"160",159,"US",17109
"161",160,"US",17186
"162",161,"US",7923
"163",162,"US",7751
"164",163,"US",5572
"165",164,"US",5268
"166",165,"Europe",4691
"167",166,"Europe",4355
"168",167,"US",9191
"169",168,"US",9850
"170",169,"Asia",9296
"171",170,"Asia",7913
"172",171,"Europe",9666
"173",172,"Europe",9881
"174",173,"Asia",8856
"175",174,"Asia",7164
"176",175,"Europe",21512
"177",176,"Europe",21881
"178",177,"US",2725
"179",178,"US",2546
"180",179,"Mexico",7156
"181",180,"Mexico",5946
"182",181,"US",1552
"183",182,"US",3382
"184",183,"US",56501
"185",184,"US",56674
"186",185,"Asia",7107
"187",186,"Asia",6522
"188",187,"Asia",12856
"189",188,"Asia",8718
"190",189,"Asia",19192
"191",190,"Asia",17118
"192",191,"US",7052
"193",192,"US",6652
"194",193,"US",102899
"195",194,"US",103188
"196",195,"Canada",3672
"197",196,"Canada",3570
"198",197,"US",4720
"199",198,"US",4717
"200",199,"Central America",7357
"201",200,"Central America",5128
"202",201,"US",42622
"203",202,"US",44508
"204",203,"US",40712
"205",204,"US",40322
"206",205,"US",61872
"207",206,"US",61768
"208",207,"US",55842
"209",208,"US",27930
"210",209,"US",56087
"211",210,"US",26098
"212",211,"US",676
"213",212,"US",420430
"214",213,"US",398135
"215",214,"US",11585
"216",215,"Asia",79131
"217",216,"Asia",68861
"218",217,"Asia",4059
"219",218,"Australia / Oceania",8903
"220",219,"Australia / Oceania",7874
"221",220,"Australia / Oceania",1475
"222",221,"Canada",13895
"223",222,"Canada",12145
"224",223,"Europe",29236
"225",224,"Europe",29920
"226",225,"Europe",863
"227",226,"Mexico",9397
"228",227,"Mexico",9275
"229",228,"Mexico",78
