"","index","GEO.Summary","Passenger.Count"
"1",0,"Domestic",27271
"2",1,"Domestic",29131
"3",2,"Domestic",5415
"4",3,"International",35156
"5",4,"International",34090
"6",5,"International",6263
"7",6,"International",5500
"8",7,"International",12050
"9",8,"International",11638
"10",9,"International",4998
"11",10,"International",4962
"12",11,"Domestic",8055
"13",12,"Domestic",7984
"14",13,"Domestic",36641
"15",14,"Domestic",39379
"16",15,"Domestic",3678
"17",16,"International",7977
"18",17,"International",8837
"19",18,"International",6969
"20",19,"International",10046
"21",20,"International",2266
"22",21,"International",6545
"23",22,"International",6094
"24",23,"Domestic",166577
"25",24,"Domestic",160890
"26",25,"Domestic",5493
"27",26,"Domestic",5213
"28",27,"International",5041
"29",28,"International",4744
"30",29,"Domestic",1552
"31",30,"Domestic",1484
"32",31,"International",325
"33",32,"International",545
"34",33,"International",20632
"35",34,"International",21686
"36",35,"International",11010
"37",36,"International",9628
"38",37,"International",13638
"39",38,"International",11255
"40",39,"Domestic",97510
"41",40,"Domestic",93791
"42",41,"International",14142
"43",42,"International",12132
"44",43,"Domestic",19234
"45",44,"Domestic",18368
"46",45,"Domestic",7579
"47",46,"Domestic",7658
"48",47,"Domestic",5284
"49",48,"Domestic",5257
"50",49,"International",4540
"51",50,"International",4341
"52",51,"Domestic",10843
"53",52,"Domestic",10967
"54",53,"International",9195
"55",54,"International",9086
"56",55,"International",9978
"57",56,"International",9587
"58",57,"International",6153
"59",58,"International",5646
"60",59,"International",22389
"61",60,"International",20511
"62",61,"Domestic",2636
"63",62,"Domestic",2535
"64",63,"International",7751
"65",64,"International",7845
"66",65,"Domestic",1797
"67",66,"Domestic",3238
"68",67,"Domestic",64231
"69",68,"Domestic",62049
"70",69,"International",7229
"71",70,"International",6554
"72",71,"International",12828
"73",72,"International",10269
"74",73,"International",19211
"75",74,"International",17462
"76",75,"Domestic",7262
"77",76,"Domestic",6586
"78",77,"Domestic",103279
"79",78,"Domestic",102023
"80",79,"International",3688
"81",80,"International",3633
"82",81,"Domestic",4827
"83",82,"Domestic",4784
"84",83,"International",6324
"85",84,"International",7031
"86",85,"Domestic",46042
"87",86,"Domestic",45553
"88",87,"Domestic",38951
"89",88,"Domestic",37848
"90",89,"Domestic",62178
"91",90,"Domestic",60939
"92",91,"Domestic",58767
"93",92,"Domestic",58277
"94",93,"Domestic",443656
"95",94,"Domestic",421802
"96",95,"Domestic",11388
"97",96,"International",77658
"98",97,"International",68278
"99",98,"International",3953
"100",99,"International",8603
"101",100,"International",8234
"102",101,"International",1385
"103",102,"International",12874
"104",103,"International",12085
"105",104,"International",10
"106",105,"International",30796
"107",106,"International",29283
"108",107,"International",888
"109",108,"International",9537
"110",109,"International",9672
"111",110,"International",45
"112",111,"International",11684
"113",112,"International",10771
"114",113,"International",2480
"115",114,"International",2211
"116",115,"Domestic",27472
"117",116,"Domestic",26535
"118",117,"Domestic",5712
"119",118,"International",34878
"120",119,"International",34105
"121",120,"International",4204
"122",121,"International",3923
"123",122,"International",11230
"124",123,"International",11731
"125",124,"International",4672
"126",125,"International",4006
"127",126,"Domestic",7796
"128",127,"Domestic",7737
"129",128,"Domestic",40431
"130",129,"Domestic",39595
"131",130,"Domestic",1902
"132",131,"International",8901
"133",132,"International",9020
"134",133,"International",7541
"135",134,"International",9333
"136",135,"International",1902
"137",136,"International",6739
"138",137,"International",5966
"139",138,"Domestic",162064
"140",139,"Domestic",157700
"141",140,"Domestic",5233
"142",141,"Domestic",4866
"143",142,"International",4099
"144",143,"International",3376
"145",144,"Domestic",1735
"146",145,"Domestic",1560
"147",146,"International",353
"148",147,"International",751
"149",148,"Domestic",18
"150",149,"International",20312
"151",150,"International",20084
"152",151,"International",11753
"153",152,"International",9050
"154",153,"International",14610
"155",154,"International",10972
"156",155,"Domestic",97343
"157",156,"Domestic",97160
"158",157,"International",13524
"159",158,"International",11950
"160",159,"Domestic",17109
"161",160,"Domestic",17186
"162",161,"Domestic",7923
"163",162,"Domestic",7751
"164",163,"Domestic",5572
"165",164,"Domestic",5268
"166",165,"International",4691
"167",166,"International",4355
"168",167,"Domestic",9191
"169",168,"Domestic",9850
"170",169,"International",9296
"171",170,"International",7913
"172",171,"International",9666
"173",172,"International",9881
"174",173,"International",8856
"175",174,"International",7164
"176",175,"International",21512
"177",176,"International",21881
"178",177,"Domestic",2725
"179",178,"Domestic",2546
"180",179,"International",7156
"181",180,"International",5946
"182",181,"Domestic",1552
"183",182,"Domestic",3382
"184",183,"Domestic",56501
"185",184,"Domestic",56674
"186",185,"International",7107
"187",186,"International",6522
"188",187,"International",12856
"189",188,"International",8718
"190",189,"International",19192
"191",190,"International",17118
"192",191,"Domestic",7052
"193",192,"Domestic",6652
"194",193,"Domestic",102899
"195",194,"Domestic",103188
"196",195,"International",3672
"197",196,"International",3570
"198",197,"Domestic",4720
"199",198,"Domestic",4717
"200",199,"International",7357
"201",200,"International",5128
"202",201,"Domestic",42622
"203",202,"Domestic",44508
"204",203,"Domestic",40712
"205",204,"Domestic",40322
"206",205,"Domestic",61872
"207",206,"Domestic",61768
"208",207,"Domestic",55842
"209",208,"Domestic",27930
"210",209,"Domestic",56087
"211",210,"Domestic",26098
"212",211,"Domestic",676
"213",212,"Domestic",420430
"214",213,"Domestic",398135
"215",214,"Domestic",11585
"216",215,"International",79131
"217",216,"International",68861
"218",217,"International",4059
"219",218,"International",8903
"220",219,"International",7874
"221",220,"International",1475
"222",221,"International",13895
"223",222,"International",12145
"224",223,"International",29236
"225",224,"International",29920
"226",225,"International",863
"227",226,"International",9397
"228",227,"International",9275
"229",228,"International",78
"230",229,"International",10685
"231",230,"International",11072
"232",231,"International",2300
"233",232,"International",2251
"234",233,"Domestic",17341
"235",234,"Domestic",18541
"236",235,"Domestic",4412
"237",236,"International",24473
"238",237,"International",26120
"239",238,"International",4416
"240",239,"International",4568
"241",240,"International",10731
"242",241,"International",11337
"243",242,"International",4565
"244",243,"International",4295
"245",244,"Domestic",7057
"246",245,"Domestic",6806
"247",246,"Domestic",31117
"248",247,"Domestic",33742
"249",248,"Domestic",3843
"250",249,"International",6635
"251",250,"International",7783
"252",251,"International",161
"253",252,"International",5446
"254",253,"International",7674
"255",254,"International",1504
"256",255,"International",5875
"257",256,"International",5960
"258",257,"Domestic",135043
"259",258,"Domestic",135944
"260",259,"Domestic",4240
"261",260,"Domestic",4166
"262",261,"International",4792
"263",262,"International",5140
"264",263,"International",108
"265",264,"International",315
"266",265,"International",20455
"267",266,"International",20635
"268",267,"International",8370
"269",268,"International",9874
"270",269,"International",9154
"271",270,"International",9486
"272",271,"Domestic",17291
"273",272,"Domestic",68347
"274",273,"Domestic",17453
"275",274,"Domestic",67160
"276",275,"International",9931
"277",276,"International",10752
"278",277,"Domestic",13426
"279",278,"Domestic",12989
"280",279,"Domestic",7735
"281",280,"Domestic",7624
"282",281,"Domestic",4648
"283",282,"Domestic",4401
"284",283,"International",1996
"285",284,"International",1677
"286",285,"Domestic",5218
"287",286,"Domestic",5503
"288",287,"International",7087
"289",288,"International",8264
"290",289,"International",9562
"291",290,"International",9513
"292",291,"International",4344
"293",292,"International",3448
"294",293,"International",20535
"295",294,"International",21379
