"","GEO.Summary","Operating.Airline"
"1","Domestic","ATA Airlines"
"2","Domestic","ATA Airlines"
"3","Domestic","ATA Airlines"
"4","International","Air Canada "
"5","International","Air Canada "
"6","International","Air China"
"7","International","Air China"
"8","International","Air France"
"9","International","Air France"
"10","International","Air New Zealand"
"11","International","Air New Zealand"
"12","Domestic","AirTran Airways"
"13","Domestic","AirTran Airways"
"14","Domestic","Alaska Airlines"
"15","Domestic","Alaska Airlines"
"16","Domestic","Alaska Airlines"
"17","International","Alaska Airlines"
"18","International","Alaska Airlines"
"19","International","Alaska Airlines"
"20","International","Alaska Airlines"
"21","International","Alaska Airlines"
"22","International","All Nippon Airways"
"23","International","All Nippon Airways"
"24","Domestic","American Airlines"
"25","Domestic","American Airlines"
"26","Domestic","American Eagle Airlines"
"27","Domestic","American Eagle Airlines"
"28","International","Asiana Airlines"
"29","International","Asiana Airlines"
"30","Domestic","Atlantic Southeast Airlines"
"31","Domestic","Atlantic Southeast Airlines"
"32","International","BelAir Airlines"
"33","International","BelAir Airlines"
"34","International","British Airways"
"35","International","British Airways"
"36","International","Cathay Pacific"
"37","International","Cathay Pacific"
"38","International","China Airlines"
"39","International","China Airlines"
"40","Domestic","Delta Air Lines"
"41","Domestic","Delta Air Lines"
"42","International","EVA Airways"
"43","International","EVA Airways"
"44","Domestic","Frontier Airlines"
"45","Domestic","Frontier Airlines"
"46","Domestic","Hawaiian Airlines"
"47","Domestic","Hawaiian Airlines"
"48","Domestic","Horizon Air "
"49","Domestic","Horizon Air "
"50","International","Icelandair"
"51","International","Icelandair"
"52","Domestic","Independence Air"
"53","Domestic","Independence Air"
"54","International","Japan Airlines"
"55","International","Japan Airlines"
"56","International","KLM Royal Dutch Airlines"
"57","International","KLM Royal Dutch Airlines"
"58","International","Korean Air Lines"
"59","International","Korean Air Lines"
"60","International","Lufthansa German Airlines"
"61","International","Lufthansa German Airlines"
"62","Domestic","Mesa Airlines"
"63","Domestic","Mesa Airlines"
"64","International","Mexicana Airlines"
"65","International","Mexicana Airlines"
"66","Domestic","Midwest Airlines"
"67","Domestic","Midwest Airlines"
"68","Domestic","Northwest Airlines"
"69","Domestic","Northwest Airlines"
"70","International","Northwest Airlines"
"71","International","Northwest Airlines"
"72","International","Philippine Airlines"
"73","International","Philippine Airlines"
"74","International","Singapore Airlines"
"75","International","Singapore Airlines"
"76","Domestic","SkyWest Airlines"
"77","Domestic","SkyWest Airlines"
"78","Domestic","SkyWest Airlines"
"79","Domestic","SkyWest Airlines"
"80","International","SkyWest Airlines"
"81","International","SkyWest Airlines"
"82","Domestic","Sun Country Airlines"
"83","Domestic","Sun Country Airlines"
"84","International","TACA"
"85","International","TACA"
"86","Domestic","US Airways"
"87","Domestic","US Airways"
"88","Domestic","US Airways"
"89","Domestic","US Airways"
"90","Domestic","United Airlines"
"91","Domestic","United Airlines"
"92","Domestic","United Airlines - Pre 07/01/2013"
"93","Domestic","United Airlines - Pre 07/01/2013"
"94","Domestic","United Airlines - Pre 07/01/2013"
"95","Domestic","United Airlines - Pre 07/01/2013"
"96","Domestic","United Airlines - Pre 07/01/2013"
"97","International","United Airlines - Pre 07/01/2013"
"98","International","United Airlines - Pre 07/01/2013"
"99","International","United Airlines - Pre 07/01/2013"
"100","International","United Airlines - Pre 07/01/2013"
"101","International","United Airlines - Pre 07/01/2013"
"102","International","United Airlines - Pre 07/01/2013"
"103","International","United Airlines - Pre 07/01/2013"
"104","International","United Airlines - Pre 07/01/2013"
"105","International","United Airlines - Pre 07/01/2013"
"106","International","United Airlines - Pre 07/01/2013"
"107","International","United Airlines - Pre 07/01/2013"
"108","International","United Airlines - Pre 07/01/2013"
"109","International","United Airlines - Pre 07/01/2013"
"110","International","United Airlines - Pre 07/01/2013"
"111","International","United Airlines - Pre 07/01/2013"
"112","International","Virgin Atlantic"
"113","International","Virgin Atlantic"
"114","International","WestJet Airlines"
"115","International","WestJet Airlines"
"116","Domestic","ATA Airlines"
"117","Domestic","ATA Airlines"
"118","Domestic","ATA Airlines"
"119","International","Air Canada "
"120","International","Air Canada "
"121","International","Air China"
"122","International","Air China"
"123","International","Air France"
"124","International","Air France"
"125","International","Air New Zealand"
"126","International","Air New Zealand"
"127","Domestic","AirTran Airways"
"128","Domestic","AirTran Airways"
"129","Domestic","Alaska Airlines"
"130","Domestic","Alaska Airlines"
"131","Domestic","Alaska Airlines"
"132","International","Alaska Airlines"
"133","International","Alaska Airlines"
"134","International","Alaska Airlines"
"135","International","Alaska Airlines"
"136","International","Alaska Airlines"
"137","International","All Nippon Airways"
"138","International","All Nippon Airways"
"139","Domestic","American Airlines"
"140","Domestic","American Airlines"
"141","Domestic","American Eagle Airlines"
"142","Domestic","American Eagle Airlines"
"143","International","Asiana Airlines"
"144","International","Asiana Airlines"
"145","Domestic","Atlantic Southeast Airlines"
"146","Domestic","Atlantic Southeast Airlines"
"147","International","BelAir Airlines"
"148","International","BelAir Airlines"
"149","Domestic","Boeing Company"
"150","International","British Airways"
"151","International","British Airways"
"152","International","Cathay Pacific"
"153","International","Cathay Pacific"
"154","International","China Airlines"
"155","International","China Airlines"
"156","Domestic","Delta Air Lines"
"157","Domestic","Delta Air Lines"
"158","International","EVA Airways"
"159","International","EVA Airways"
"160","Domestic","Frontier Airlines"
"161","Domestic","Frontier Airlines"
"162","Domestic","Hawaiian Airlines"
"163","Domestic","Hawaiian Airlines"
"164","Domestic","Horizon Air "
"165","Domestic","Horizon Air "
"166","International","Icelandair"
"167","International","Icelandair"
"168","Domestic","Independence Air"
"169","Domestic","Independence Air"
"170","International","Japan Airlines"
"171","International","Japan Airlines"
"172","International","KLM Royal Dutch Airlines"
"173","International","KLM Royal Dutch Airlines"
"174","International","Korean Air Lines"
"175","International","Korean Air Lines"
"176","International","Lufthansa German Airlines"
"177","International","Lufthansa German Airlines"
"178","Domestic","Mesa Airlines"
"179","Domestic","Mesa Airlines"
"180","International","Mexicana Airlines"
"181","International","Mexicana Airlines"
"182","Domestic","Midwest Airlines"
"183","Domestic","Midwest Airlines"
"184","Domestic","Northwest Airlines"
"185","Domestic","Northwest Airlines"
"186","International","Northwest Airlines"
"187","International","Northwest Airlines"
"188","International","Philippine Airlines"
"189","International","Philippine Airlines"
"190","International","Singapore Airlines"
"191","International","Singapore Airlines"
"192","Domestic","SkyWest Airlines"
"193","Domestic","SkyWest Airlines"
"194","Domestic","SkyWest Airlines"
"195","Domestic","SkyWest Airlines"
