"","index","Year","Passenger.Count"
"1",0,2005,27271
"2",1,2005,29131
"3",2,2005,5415
"4",3,2005,35156
"5",4,2005,34090
"6",5,2005,6263
"7",6,2005,5500
"8",7,2005,12050
"9",8,2005,11638
"10",9,2005,4998
"11",10,2005,4962
"12",11,2005,8055
"13",12,2005,7984
"14",13,2005,36641
"15",14,2005,39379
"16",15,2005,3678
"17",16,2005,7977
"18",17,2005,8837
"19",18,2005,6969
"20",19,2005,10046
"21",20,2005,2266
"22",21,2005,6545
"23",22,2005,6094
"24",23,2005,166577
"25",24,2005,160890
"26",25,2005,5493
"27",26,2005,5213
"28",27,2005,5041
"29",28,2005,4744
"30",29,2005,1552
"31",30,2005,1484
"32",31,2005,325
"33",32,2005,545
"34",33,2005,20632
"35",34,2005,21686
"36",35,2005,11010
"37",36,2005,9628
"38",37,2005,13638
"39",38,2005,11255
"40",39,2005,97510
"41",40,2005,93791
"42",41,2005,14142
"43",42,2005,12132
"44",43,2005,19234
"45",44,2005,18368
"46",45,2005,7579
"47",46,2005,7658
"48",47,2005,5284
"49",48,2005,5257
"50",49,2005,4540
"51",50,2005,4341
"52",51,2005,10843
"53",52,2005,10967
"54",53,2005,9195
"55",54,2005,9086
"56",55,2005,9978
"57",56,2005,9587
"58",57,2005,6153
"59",58,2005,5646
"60",59,2005,22389
"61",60,2005,20511
"62",61,2005,2636
"63",62,2005,2535
"64",63,2005,7751
"65",64,2005,7845
"66",65,2005,1797
"67",66,2005,3238
"68",67,2005,64231
"69",68,2005,62049
"70",69,2005,7229
"71",70,2005,6554
"72",71,2005,12828
"73",72,2005,10269
"74",73,2005,19211
"75",74,2005,17462
"76",75,2005,7262
"77",76,2005,6586
"78",77,2005,103279
"79",78,2005,102023
"80",79,2005,3688
"81",80,2005,3633
"82",81,2005,4827
"83",82,2005,4784
"84",83,2005,6324
"85",84,2005,7031
"86",85,2005,46042
"87",86,2005,45553
"88",87,2005,38951
"89",88,2005,37848
"90",89,2005,62178
"91",90,2005,60939
"92",91,2005,58767
"93",92,2005,58277
"94",93,2005,443656
